"","P.locat","NP","GP","BFj","BUj","palsites.real.lon","palsites.real.lat"
"87","outer",14.9554141683584,9.28469906147129,0.0571869911233288,0,162.98364,5.26278
"88","outer",6.86963935327435,6.17141882352616,0.0247727654584156,0,162.97695,5.36937
"89","outer",11.0098106527315,7.2418701696917,0,0,162.90034,5.31134
"90","outer",6.37830762960033,4.6977215838686,0.00724487362550419,0,162.98454,5.37275
"91","inner",11.9886087858585,10.8791155149944,0.00203940841537204,0.00170389281805123,163.02315,5.32558
"92","inner",14.0233020989283,13.0070004658922,0,0,162.95325,5.34423
"93","inner",7.20463064659262,6.45722423728811,0.0065551389037248,0.000787904083040995,162.939,5.32762
"94","inner",10.534873136965,9.3564072802753,0.0145392982408454,0.000684826235408756,162.95012,5.3458
"95","inner",10.8795432574887,9.88061371801355,0.0142041653430393,0.00134994230318992,162.96646,5.27639
"96","inner",9.70228234303593,8.70035668882112,0.000959996496372025,0.00110074063930733,162.95404,5.34976
"97","outer",2.39414643121267,2.03232515543553,0.00630244677007636,0,162.95673,5.26699
"98","outer",3.28612037479125,2.53596660149825,0.0446228366302382,0,162.90755,5.27876
"99","outer",2.09937671938551,1.51115953213704,0.00798492407974842,0,162.98051,5.26525
"100","outer",5.05557776523824,3.7189053650436,0.0072501179538079,0,163.0027,5.37348
"101","outer",1.42253270895672,1.19619958528086,0.209413158395132,0.000267005615232096,162.99699,5.37506
"102","outer",4.67841145352719,3.89187293623143,0.548032554040635,0,162.8967,5.29927
"103","outer",9.92465679683336,8.93897227288831,0.0448147100795679,0,162.93533,5.32677
"104","outer",8.10393757517307,6.4803517739125,0.0337822348101487,0,163.03798,5.31259
"105","outer",12.0480794630073,9.97121279440501,0.00271002043468085,0,163.03645,5.32721
"106","outer",8.85150471356394,7.40834256051668,0.0052308082151797,0,162.94688,5.35649
"107","outer",7.53585025205416,5.86822524833402,0.0247955435307655,0,163.03059,5.28791
"108","outer",6.21481645086136,5.26741675206974,0.0194245265191552,0,163.02065,5.27187
"109","outer",13.8459412925152,10.77077925,3.01462312718058e-05,0,162.98283,5.3718
"110","outer",4.87178312168488,4.25436266560121,0,0,163.03365,5.33899
"111","outer",2.60891967592593,2.0830280625,0,0,162.98364,5.26278
"112","outer",6.11591987137914,4.504596,0.00865211310534552,0,162.97695,5.36937
"113","outer",0.0840945896976008,0.034174582886656,0,0,162.90034,5.31134
"114","outer",1.34427589750452,1.30699580491193,0,0,162.98454,5.37275
"115","inner",4.55185791027113,4.02405555982551,0.00683292369844518,0,163.02315,5.32558
"116","inner",5.34659496382227,4.4676839375,0.00935648293699215,0,162.95325,5.34423
"117","inner",3.86213859161755,2.64188925,0.00396650097504265,0,162.939,5.32762
"118","inner",1.37317753604251,1.1563538125,0.00870001294543525,0,162.95012,5.3458
"119","inner",4.56917938516025,3.85500893229543,0.00340533366226562,0,162.96646,5.27639
"120","inner",1.43782984794712,1.29072474463987,0.00241192360186003,0,162.95404,5.34976
"121","outer",14.7827347334185,11.2070572078867,0.000406258672859408,0.000267005615232096,162.95673,5.26699
"122","outer",11.7353699451866,5.8504848846664,0.00287991673875345,0,162.90755,5.27876
"123","outer",4.55869762515891,3.57658327368823,0.00590306703903623,0,162.98051,5.26525
"124","outer",3.99408891394071,2.7334114375,0.00465703010115395,0,163.0027,5.37348
"125","outer",7.28526579064322,5.731465,0.00685847281557345,0.00017481647556402,162.99699,5.37506
"126","outer",3.17739661429988,2.18013418481994,0.0194982389013158,0,162.8967,5.29927
"127","outer",12.7772700373217,9.94800064825523,0.0138570402135291,0,162.93533,5.32677
"128","outer",6.18904307222194,4.20498107896027,0.0320327247239939,0,163.03798,5.31259
"129","outer",12.8115526352288,9.19839257953658,0.00127270672014419,0,163.03645,5.32721
"130","outer",6.67356489900115,4.11926164366278,0.00768558659593412,0,162.94688,5.35649
"131","outer",4.55379961066898,3.08925982051402,0.02650962973834,0,163.03059,5.28791
"132","outer",6.65577175934157,5.03405953301525,0.00527087669214428,0,163.02065,5.27187
"133","outer",13.318106515997,8.10463701996759,0.0054637732637455,0,162.98283,5.3718
"134","outer",12.8671788549312,8.75045155755406,0.0384123517115253,0,163.03365,5.33899
"135","outer",20.6813040886065,9.0839455625,0.0013068278497056,0,162.98364,5.26278
"136","outer",5.35050441439598,3.98567713807716,0.0010118622994899,0,162.97695,5.36937
"137","outer",7.92583613122953,5.21082955605175,0.00664025841117134,0,162.90034,5.31134
"138","outer",3.55758272114384,2.7826804460244,0.00207768287204598,0,162.98454,5.37275
"139","inner",5.66251658642554,2.86899729703123,0.000248402306721301,0,163.02315,5.32558
"140","inner",5.802830741784,4.15429640929484,0.00430547482920405,0,162.95325,5.34423
"141","inner",3.91171299805488,2.32576068911213,0.0018349097245936,0,162.939,5.32762
"142","inner",10.6466256271883,6.5877879375,0.0161188807268963,0,162.95012,5.3458
"143","inner",3.04942252794901,2.65826890656091,0.00861768573552478,0,162.96646,5.27639
"144","inner",9.15283276203355,4.83204536819069,0.00151406299431341,0,162.95404,5.34976
